Action,TimeOfAction
Ground Pass/Header,16:51:00.939697
Ground Pass/Header,16:51:02.970469
Ground Pass/Header,16:51:04.752099
Driven Ground Pass,16:51:04.760061
Ground Pass/Header,16:51:07.566944
Through Pass,16:51:09.356649
Ground Pass/Header,16:51:10.573664
Ground Pass/Header,16:51:11.967897
Ground Pass/Header,16:51:12.909623
Ground Pass/Header,16:51:15.046872
Ground Pass/Header,16:51:15.901040
Ground Pass/Header,16:51:16.995279
Ground Pass/Header,16:51:18.002592
Driven Ground Pass,16:51:19.453330
Ground Pass/Header,16:51:20.855544
Strafe Dribble,16:51:22.549310
Pass and Go,16:51:22.559491
Ground Pass/Header,16:51:23.191664
Through Pass,16:51:24.373660
Strafe Dribble,16:51:28.351702
Strafe Dribble,16:51:29.579747
Shield/Jockey,16:51:30.835465
Shield/Jockey,16:51:30.937527
Shield/Jockey,16:51:31.877527
Ground Pass/Header,16:51:32.581682
Through Pass,16:51:33.382764
Through Pass,16:51:37.059218
Shoot/Volley/Header,16:51:38.182106
Chip Shot,16:51:38.189653
Shield/Jockey,16:51:40.697699
Shield/Jockey,16:51:42.217482
Slow Dribble,16:51:42.309234
Strafe Dribble,16:51:43.534666
lofted Ground Pass,16:51:44.057559
Ground Pass/Header,16:51:44.419638
Through Pass,16:51:45.482951
Ground Pass/Header,16:51:46.353498
Ground Pass/Header,16:51:47.277772
Shoot/Volley/Header,16:51:48.513517
Finesse Shot,16:51:48.517517
Strafe Dribble,16:51:50.102522
Strafe Dribble,16:51:50.151730
Strafe Dribble,16:51:51.062017
Shield/Jockey,16:51:51.583114
Slow Dribble,16:51:51.999945
Shield/Jockey,16:51:58.362075
Slow Dribble,16:51:59.139710
Shield/Jockey,16:52:01.696903
Slow Dribble,16:52:02.539899
Shield/Jockey,16:52:03.166971
Strafe Dribble,16:52:03.563553
Shield/Jockey,16:52:04.863560
Strafe Dribble,16:52:06.120060
Shield/Jockey,16:52:08.246689
Slow Dribble,16:52:08.821287
Shield/Jockey,16:52:11.254102
Shoot/Volley/Header,16:52:13.560076
Strafe Dribble,16:52:14.109598
Shoot/Volley/Header,16:52:17.397031
Shield/Jockey,16:52:18.047678
Shield/Jockey,16:52:19.803858
Slow Dribble,16:52:20.599138
Strafe Dribble,16:52:20.825637
Shield/Jockey,16:52:21.565479
Strafe Dribble,16:52:22.806088
Shield/Jockey,16:52:23.108537
Slow Dribble,16:52:23.492091
Shoot/Volley/Header,16:52:24.321574
Shoot/Volley/Header,16:52:24.846139
Through Pass,16:52:25.796053
lofted Ground Pass,16:52:26.984838
Ground Pass/Header,16:52:28.424420
Through Pass,16:52:29.736047
Through Pass,16:52:30.854092
Shield/Jockey,16:52:33.711228
Strafe Dribble,16:52:34.098537
Shield/Jockey,16:52:35.325660
Slow Dribble,16:52:35.793585
Strafe Dribble,16:52:36.776835
Shield/Jockey,16:52:37.122236
Slow Dribble,16:52:37.619341
Strafe Dribble,16:52:38.059519
Shield/Jockey,16:52:38.505482
Strafe Dribble,16:52:38.858143
Shield/Jockey,16:52:39.286724
Slow Dribble,16:52:39.513324
Strafe Dribble,16:52:40.388447
Shield/Jockey,16:52:40.897569
Strafe Dribble,16:52:41.564750
Shield/Jockey,16:52:42.623028
Slow Dribble,16:52:42.878128
Shield/Jockey,16:52:43.673029
lofted Ground Pass,16:52:44.059482
lofted Ground Pass,16:52:44.444741
Shield/Jockey,16:52:45.719369
Shield/Jockey,16:52:46.451267
Through Pass,16:52:47.504841
Ground Pass/Header,16:52:48.682118
Through Pass,16:52:51.773575
Threaded Through Pass,16:52:51.784949
Strafe Dribble,16:52:58.263743
Strafe Dribble,16:53:00.300195
Shield/Jockey,16:53:02.299167
Slow Dribble,16:53:03.117570
Slow Dribble,16:53:03.855547
Strafe Dribble,16:53:06.652972
Strafe Dribble,16:53:08.451832
Strafe Dribble,16:53:10.245176
Shield/Jockey,16:53:11.622993
Ground Pass/Header,16:53:15.089607
Ground Pass/Header,16:53:17.594410
Ground Pass/Header,16:53:18.585213
Pass and Go,16:53:18.704227
Ground Pass/Header,16:53:19.771162
Ground Pass/Header,16:53:21.724154
Ground Pass/Header,16:53:22.939529
Ground Pass/Header,16:53:24.337546
Strafe Dribble,16:53:25.273481
Pass and Go,16:53:25.309500
Through Pass,16:53:26.817585
Through Pass,16:53:27.892972
Strafe Dribble,16:53:31.035168
Slow Dribble,16:53:32.202600
Slow Dribble,16:53:32.838917
Shield/Jockey,16:53:34.136667
Slow Dribble,16:53:34.803284
Strafe Dribble,16:53:36.505515
Shield/Jockey,16:53:36.929518
Slow Dribble,16:53:37.531574
Slow Dribble,16:53:38.576477
Strafe Dribble,16:53:39.093056
Slow Dribble,16:53:40.422086
Shield/Jockey,16:53:41.335835
lofted Ground Pass,16:53:42.523669
Ground Pass/Header,16:53:45.986454
Ground Pass/Header,16:53:47.240768
Ground Pass/Header,16:53:48.182536
Ground Pass/Header,16:53:49.858884
Strafe Dribble,16:53:50.867953
Pass and Go,16:53:50.893542
Ground Pass/Header,16:53:52.088188
Ground Pass/Header,16:53:53.528421
Ground Pass/Header,16:53:55.206234
Ground Pass/Header,16:53:57.504998
Ground Pass/Header,16:53:58.943731
Driven Ground Pass,16:54:01.177523
Ground Pass/Header,16:54:02.661072
Pass and Go,16:54:02.691663
Ground Pass/Header,16:54:03.538782
Ground Pass/Header,16:54:06.537529
Ground Pass/Header,16:54:07.079695
Shield/Jockey,16:54:07.577254
Slow Dribble,16:54:08.019069
Strafe Dribble,16:54:09.759927
Shoot/Volley/Header,16:54:10.116146
Shield/Jockey,16:54:12.049938
Shield/Jockey,16:54:12.723771
Slow Dribble,16:54:13.159976
Shield/Jockey,16:54:14.585331
Slow Dribble,16:54:17.141557
Strafe Dribble,16:54:19.415465
Strafe Dribble,16:54:19.435893
Shield/Jockey,16:54:21.747518
Strafe Dribble,16:54:22.125336
Ground Pass/Header,16:54:22.492911
Ground Pass/Header,16:54:24.057474
Strafe Dribble,16:54:25.452170
Pass and Go,16:54:25.480170
Through Pass,16:54:27.530573
Ground Pass/Header,16:54:31.966013
Strafe Dribble,16:54:35.787008
Strafe Dribble,16:54:35.812006
Slow Dribble,16:54:37.591378
Slow Dribble,16:54:38.469420
Strafe Dribble,16:54:40.941564
Shield/Jockey,16:54:45.025486
Shield/Jockey,16:54:47.608490
Shield/Jockey,16:54:48.886471
Strafe Dribble,16:54:49.346409
Strafe Dribble,16:54:50.436718
Shield/Jockey,16:54:51.255574
Strafe Dribble,16:54:53.568788
Through Pass,16:54:58.389529
Ground Pass/Header,16:54:59.989450
Strafe Dribble,16:55:01.818763
Pass and Go,16:55:01.839080
Strafe Dribble,16:55:04.443798
Lobbed Through Pass,16:55:04.454000
Strafe Dribble,16:55:08.329973
Shield/Jockey,16:55:09.257535
Strafe Dribble,16:55:10.115949
Strafe Dribble,16:55:10.808303
Shield/Jockey,16:55:12.160542
Shield/Jockey,16:55:13.708012
Slow Dribble,16:55:14.684652
Shield/Jockey,16:55:15.443014
Ground Pass/Header,16:55:16.548960
Pass and Go,16:55:16.597246
Strafe Dribble,16:55:18.472863
lofted Ground Pass,16:55:18.786917
Ground Pass/Header,16:55:19.137398
Ground Pass/Header,16:55:23.360528
Ground Pass/Header,16:55:24.605395
Ground Pass/Header,16:55:25.803324
Ground Pass/Header,16:55:27.588688
Ground Pass/Header,16:55:29.044568
Strafe Dribble,16:55:30.211841
Pass and Go,16:55:30.228108
Strafe Dribble,16:55:30.936013
Shield/Jockey,16:55:31.785392
Slow Dribble,16:55:32.288699
Shield/Jockey,16:55:33.122255
Slow Dribble,16:55:33.770426
Ground Pass/Header,16:55:34.321543
Strafe Dribble,16:55:35.393487
Pass and Go,16:55:35.409483
Ground Pass/Header,16:55:36.854247
Ground Pass/Header,16:55:37.610285
Strafe Dribble,16:55:39.717483
Shield/Jockey,16:55:40.108131
Slow Dribble,16:55:40.116058
Slow Dribble,16:55:41.371548
Strafe Dribble,16:55:43.293515
Shield/Jockey,16:55:44.293933
Slow Dribble,16:55:44.687188
Shield/Jockey,16:55:45.345289
Slow Dribble,16:55:45.927187
Strafe Dribble,16:55:46.406807
Shield/Jockey,16:55:46.760211
Slow Dribble,16:55:47.287976
Fake Shot,16:55:47.550879
Ground Pass/Header,16:55:50.006047
lofted Ground Pass,16:55:50.619433
Ground Pass/Header,16:55:51.469052
Shield/Jockey,16:55:53.806006
Strafe Dribble,16:55:54.953971
Shield/Jockey,16:55:55.317475
Strafe Dribble,16:55:57.587952
Shield/Jockey,16:55:58.492778
Slow Dribble,16:55:59.214468
Shield/Jockey,16:55:59.857369
Through Pass,16:56:03.509499
Through Pass,16:56:04.770375
Ground Pass/Header,16:56:06.558522
Through Pass,16:56:08.141163
Strafe Dribble,16:56:09.507497
Shield/Jockey,16:56:09.835967
Strafe Dribble,16:56:10.401452
Strafe Dribble,16:56:11.539821
Shield/Jockey,16:56:11.860946
Ground Pass/Header,16:56:14.132543
Lob Pass/Cross/Header,16:56:16.715485
Shield/Jockey,16:56:18.785498
lofted Ground Pass,16:56:18.805365
lofted Ground Pass,16:56:19.156543
Strafe Dribble,16:56:20.620619
Shield/Jockey,16:56:25.958999
Shield/Jockey,16:56:26.984911
Strafe Dribble,16:56:28.329657
Slow Dribble,16:56:29.235986
Slow Dribble,16:56:29.785492
Shield/Jockey,16:56:30.635545
Strafe Dribble,16:56:30.961998
Shield/Jockey,16:56:31.304879
Slow Dribble,16:56:32.152634
Slow Dribble,16:56:32.845991
Strafe Dribble,16:56:33.381452
Slow Dribble,16:56:33.787272
Shield/Jockey,16:56:34.627374
Through Pass,16:56:36.684760
Stop Ball,16:56:38.100040
Ground Pass/Header,16:56:38.495285
Ground Pass/Header,16:56:39.696866
Fake Pass,16:56:43.770849
Strafe Dribble,16:56:47.849598
Shield/Jockey,16:56:49.697095
Slow Dribble,16:56:50.131677
Strafe Dribble,16:56:50.335670
Shield/Jockey,16:56:50.651979
Slow Dribble,16:56:52.093224
Strafe Dribble,16:56:52.956634
Strafe Dribble,16:56:53.883102
Shield/Jockey,16:56:56.656943
Shield/Jockey,16:56:57.894742
Shield/Jockey,16:56:58.948222
Ground Pass/Header,16:57:04.295752
Strafe Dribble,16:57:05.123451
Lobbed Through Pass,16:57:05.129589
Ground Pass/Header,16:57:09.161415
Ground Pass/Header,16:57:10.141095
Through Pass,16:57:11.272417
Strafe Dribble,16:57:12.949877
Pass and Go,16:57:12.971617
Ground Pass/Header,16:57:13.761433
Through Pass,16:57:14.446977
Fake Pass,16:57:16.631108
Strafe Dribble,16:57:18.663142
Lobbed Through Pass,16:57:18.685448
Strafe Dribble,16:57:20.080839
lofted Ground Pass,16:57:20.630524
Ground Pass/Header,16:57:21.885364
Strafe Dribble,16:57:23.311847
Pass and Go,16:57:23.336240
Ground Pass/Header,16:57:24.328982
